"d34_mid","d34_uime","n8","address","description","latitude","longitude"
20109025,"Stara osnovna šola",603030,"Prečna  8, 8000 Novo mesto","","45.813585","15.1215619"
20109084,"Mladinski dom",603031,"Prapreče 22 ","","45.8368982","14.9191479"
20108584,"Osnovna šola Vavta vas ",603032,"Vavta vas 1, 8351 Straža pri Novem mestu","","45.7827517","15.0816496"
20109033,"Mladinski dom",603033,"Rumanja vas","","45.7782109","15.0654668"
,"Jakob Oblak",603034,"Potok 5, 8351 Straža pri Novem mestu","","45.7867387","15.1123294"
20108967,"Gasilski dom Šmihel",603035,"Bajčeva ulica 20, 8000 Novo mesto","","45.7923419","15.1622214"
20109092,"Gasilski dom",603036,"Ždinja vas 14, 8000 Novo mesto","","45.84611930000001","15.1720977"
20217723,"Gasilni dom Čatež",604001,"Čatež 19, 8212 Velika Loka","","45.9680896","14.9665345"
20217731,"Glivar Darko",604002,"Korita 6, 8211 Dobrnič ","","45.8640902","14.9864793"
20218002,"Smolič Pavle",604003,"Dobrava 22, 8211 Dobrnič","","45.8549733","14.9676723"
20218185,"Kulturni dom Dobrnič",604004,"Dobrnič 9, 8211 Dobrnič","","45.8764941","14.9783142"
20218223,"OŠ Dolenja Nemška vas I. (telovadnica)",604005,"Dolenja Nemška vas 21, 8210 Trebnje","","45.9037657","15.0418325"
20218037,"OŠ Dolenja Nemška vas II. (telovadnica) ",604006,"Dolenja Nemška vas 21, 8210 Trebnje","","45.9037657","15.0418325"
20218029,"Novi gasilski dom Lukovek",604007,"Lukovek 52, 8210 Lukovek","","45.9030437","15.0695415"
20217740,"KS Knežja vas (vaško središče) ",604008,"Dolenje selce 21, 8211 Dobrnič","","45.89992710000001","14.9345262"
20217766,"Gasilni dom Ševnica",604009,"Ševnica 22, 8233 Mirna","","45.9460711","15.0293898"
20217952,"Osnovna šola Mirna I.",604011,"Cesta na Fužine 1, 8233 Mirna","","45.9516469","15.0607601"
20218045,"Dom Partizan Mirna",604012,"Sokolska ulica 2, 8233 Mirna","","45.9534728","15.0601416"
20217758,"Osnovna šola Mirna II.",604013,"Cesta na Fužine 1, 8233 Mirna","","45.9516469","15.0607601"
20217774,"Gasilni dom Selo",604014," Glavna cesta 6, 8233 Mirna","","45.9495358","15.0613013"
20218070,"Kučič Danijel",604016,"Gorenje Laknice 15a, 8230 Mokronog","","45.932707","15.1652153"
20218061,"Kulturni dom Mokronog",604017,,"","45.942581","15.148958"
