"id","name","address","description","lat","lon"
"511032","Dvorana KS Remšnik","Remšnik 5, 2363 Podvelka","","46.6254355","15.2998856"
"511033","OŠ Vuzenica","Mladinska ulica 3, 2367 Vuzenica","","46.6000428","15.1656028"
"511034","KKGZ zadruga Vuzenica","Livarska cesta 10, 2367 Vuzenica","","46.5952393","15.1613886"
"511035","Društveni prostori Sv. Vid","","","46.603644","15.188247"
"511036","Dom krajanov","Sv.Primož na Pohorju 22, 2367 Vuzenica","","46.5584026","15.1625827"
"511037","Gostišče Prodnar","Sv. Primož na Pohorju 1, 2367 Vuzenica ","","46.5758017","15.1648699"
"601001","OŠ Loka Černomelj ","Kidričeva ulica 18, 8340 Črnomelj","","45.56624559999999","15.1885507"
"601002","Športno društvo Nogometna šola Bela Krajina ","Pri stadionu 2, 8340 Črnomelj","","45.56632889999999","15.1911318"
"601004","OŠ Mirana Jarca Črnomelj ","Ulica Otona Župančiča 8, 8340 Črnomelj","","45.5731969","15.1920699"
"601006","Gasilski dom Vranoviči","Vranoviči 17, 8340 Črnomelj ","","45.6014585","15.2340852"
"601007","Dom obrtnikov Črnomelj ","Ulica 21.oktobra 10, 8340 Črnomelj","","45.5785141","15.1877269"
"601010","Otroški vrtec Črnomelj ","Čardak 1, 8340 Črnomelj","","45.576538","15.1879324"
"601011","Kulturni dom Adlešiči ","Adlešiči 13b, 8341 Adlešiči","","45.5216585","15.3121193"
"601015","Gasilski dom Žuniči ","Žuniči 1 A, 8341 Žuniči","","45.4827456","15.3603282"
"601016","Gasilski dom Butoraj ","Butoraj 29, 8340 Črnomelj","","45.5433167","15.2055439"
"601017","Gasilski dom Dobliče ","Dobliče 22, 8340 Črnomelj","","45.5589302","15.1439034"
"601018","Gostilna in picerija Pri Deliču","Kanižarica 15a, 8340 Črnomelj","","45.5608359","15.1704376"
"601020","Osnovna šola Dragatuš","Dragatuš 48, 8343 Dragatuš","","45.5228298","15.1793665"
"601022","Gasilski dom Tanča Gora","Tanča Gora 17 B, 8343 Dragatuš","","45.5334257","15.1560965"
"601023","Pri Panjan Francu","Mali Nerajec 8, 8343 Dragatuš","","45.5012179","15.1893477"
"601024","POŠ Griblje","Griblje 38,8332 Gradac","","45.5714331","15.2928798"
"601026","Trgovina Vizir","Lokve 10b,  8340 Črnomelj","","45.5951071","15.1753631"
"601027","Gasilski dom Petrova vas ","Mihelja vas 4, 8340 Črnomelj","","45.61535809999999","15.162025"
"601029","KS Sinji Vrh ","Sinji Vrh 1 A, 8344 Vinica","","45.4495499","15.1653151"
"601031","Gasilski dom Radenci","Gor. Radenci 7a, 8342 Gorenji Radenci ","","45.4674679","15.0916296"
"601032","Vrtec OŠ Stari trg ob Kolpi","Stari trg ob Kolpi 7, 8342 Stari trg ob Kolpi","","45.49398559999999","15.0770767"
"601033","Stavba bivše OŠ Zagozdac","","","45.525328","15.060914"
"601034","Gasilski dom Rodine","Rodine 14a, 8340 Črnomelj","","45.6013732","15.1421869"
"601035","Gasilski dom Otovec","Otovec 4, 8340 Črnomelj","","45.5929267","15.1649341"
"601036","Gasilski dom Mavrlen","Mavrlen 2a, 8340 Črnomelj","","45.5737587","15.1379844"
"601037","Gasilski dom Tribuče","Tribuče 34c, 8340 Črnomelj","","45.5463734","15.2463666"
"601038","Pri Sedlar Stanku","Desinec 1a. 8340 Črnomelj","","45.5610941","15.2371255"
"601039","Gasilski dom Hrast pri Vinici ","Hrast pri Vinici 18, 8344 Vinica","","45.4796524","15.2273079"
"601040","Gasilski dom Preloka","Preloka 17 8344 Vinica","","45.470623","15.3419327"
"601041","Pri Tomec Jožetu","Stara Lipa 1a, 8344 Vinica","","45.4828857","15.2010161"
"601043","Dom krajanov Vinica","Vinica 44, 8344 Vinica","","45.4597636","15.2516529"
"601044","Gasilski dom Zilje","Zilje 37, 8344 Vinica","","45.460744","15.3094985"
"601045","Večnamenski dom Bojanci ","","","45.501775","15.243878"
"601047","Dom krajanov Božakovo","","","45.645847","15.373825"
"601048","Gasilski dom Krivoglavice","Krivoglavice 10, 8332 Gradac","","45.6327538","15.280775"
"601049","Gasilski dom Drašiči","Drašiči 35, 8330 Metlika","","45.6660008","15.3724118"
