DZ22PV_ID,OVK,OVK_DUP,OVK_ime,OB_MID,OB_ID,obmocje,name,sedez_naslov,sedez_posta,lat,lon
46,4010,1,Domžale 1,,,Občini Lukovica in Moravče ter del občine Domžale (v skladu z ZDVEDZ),Društvo Lipa Domžale,Ljubljanska 58,1230 Domžale,46.13807,14.59107
47,4011,1,Domžale 2,,,Občini Mengeš in Trzin ter del občine Domžale (v skladu z določbami ZDVEDZ),Društvo Lipa Domžale,Ljubljanska 58,1230 Domžale,46.13807,14.59107
48,5001,1,Šentjur,,,Občini Dobje in Šentjur,Občina Šentjur,Mestni trg 10,3230 Šentjur,46.21700,15.39382
49,5002,1,Celje 1,,,"Občine Dobrna, Štore, Vojnik in del mestne občine Celje (v skladu z ZDVEDZ)",Upravna enota Celje,Ljubljanska cesta 1,3000Celje,46.22946,15.26095
50,5003,1,Celje 2,,,Del mestne občine Celje (v skladu z ZDVEDZ),Upravna enota Celje,Ljubljanska cesta 1,3000 Celje,46.22946,15.26095
51,5004,1,Žalec 1,,,Občina Polzela in del mestne občine Velenje (v skladu z ZDVEDZ),Upravna enota Žalec,Ulica Savinjske čete 5,3310 Žalec,46.25040,15.16420
52,5005,1,Žalec 2,,,"Občine Braslovče, Prebold, Tabor in Vransko ter del občine Žalec (v skladu z ZDVDZ) ",Upravna enota Žalec,Ulica Savinjske čete 5,3310 Žalec,46.25040,15.16420
53,5006,1,Mozirje,,,"Občine Gornji Grad, Ljubno, Luče, Mozirje, Nazarje, Rečica ob Savinji in Solčava",Upravni center Mozirje,Šmihelska cesta 2,3330 Mozirje,46.34061,14.96573
54,5007,1,Velenje 1,,,Del mestne občine Velenje (v skladu z ZDVEDZ),Upravna enota Velenje,Rudarska 6a,3320 Velenje,46.35921,15.11371
55,5008,1,Velenje 2,,,Občini Šmartno ob Paki in Šoštanj ter del mestne občine Velenje (v skladu z ZDVEDZ),Upravne enota Velenje,Rudarska cesta 6a,3320 Velenje,46.35921,15.11371
